x [um],y [um],Vmem [mV]
6.917739070370774357e+01,1.622583896245848933e+01,-4.311190330820156902e+01
8.461243531969552123e+01,1.497577740962555914e+01,-4.311600423961556316e+01
1.020676991871004162e+02,1.584317859377547322e+01,-4.310235114336087747e+01
5.134558447485542132e+01,2.478396407854150496e+01,-4.313102336149231064e+01
6.811499972904363176e+01,2.350128037708361006e+01,-4.312635490012954165e+01
8.472605077259932216e+01,2.350181759190728314e+01,-4.311692424972624593e+01
1.020571886498401852e+02,2.418487363073122509e+01,-4.309534174776891291e+01
3.517851749591423527e+01,3.445750393729391448e+01,-4.312640248168860069e+01
5.018525535117085923e+01,3.307944284157636616e+01,-4.313635401650536494e+01
6.766863807957483345e+01,3.275554371890147110e+01,-4.312783311388174212e+01
8.495271893764605409e+01,3.276174626007183122e+01,-4.310393926242758056e+01
1.021235792835748839e+02,3.345973311080286550e+01,-4.306304987667594020e+01
3.315758150280594663e+01,4.286579953719629543e+01,-4.313783952281421108e+01
5.076450867123995181e+01,4.245704360628719343e+01,-4.313748728270894617e+01
6.794779416539155648e+01,4.207677052040268961e+01,-4.311891818484118488e+01
8.491465008994686059e+01,4.208185800786003483e+01,-4.307116663963481074e+01
1.018927401184119361e+02,4.290942724040020551e+01,-4.298598054891640885e+01
1.935324077476901294e+01,5.391041158248595622e+01,-4.312930626144829205e+01
3.409663128077401240e+01,5.223537405947134005e+01,-4.314090919266331525e+01
5.095079124844692586e+01,5.179382242253447544e+01,-4.313461938292385156e+01
6.790919956633975119e+01,5.156272020717114657e+01,-4.310014114607454161e+01
8.476318750291436288e+01,5.164387144554277143e+01,-4.300777481725805984e+01
1.018601029429176492e+02,5.237041058087813639e+01,-4.282239089119762099e+01
1.367226663474333179e+02,5.156461145636889398e+01,-4.266133296060826297e+01
1.702284740224376236e+01,6.219792695887051792e+01,-4.313617248563232209e+01
3.425495011419378244e+01,6.160894488490237109e+01,-4.314200849964068141e+01
5.104041159272812678e+01,6.139942015576818335e+01,-4.312833464101264269e+01
6.768718185136776810e+01,6.118245188867717843e+01,-4.307158395075990853e+01
8.463928875537591523e+01,6.106806211618158642e+01,-4.290378856196659285e+01
1.022448411073830670e+02,6.169161082118061046e+01,-4.247287103672631048e+01
1.195188220970539845e+02,6.132076687655690250e+01,-4.198511873394593863e+01
